Met file for SINGLE TREE IN 4x4 

&environ		
difsky = 0.0
SWMIN = 0.05
SWMAX = 0.36
/		

&latlong		
lat=37	47	0
long=144	58	0
tzlong=150		
lonhem='E'		
lathem='S'		
/		

&metformat		
dayorhr=1												
khrsperday=48
nocolumns=9
startdate='09/02/12'												
enddate='15/05/12'												
columns=	'DATE'	'RAD'	'TAIR'	'PRESS'	'RH%'	'TDEW'	'WIND'	'CA'	'PPT'	
/												

DATA STARTS
41	195.28	21.5	101050	61.93	14.2	2.58	439.02	0
41	172.22	21.07	101100	63.6	14.8	2.42	433.24	0
41	155.25	20.92	101180	63.82	14.3	2.06	427.47	0
41	125.8	20.68	101210	64.36	14.2	1.99	425.97	0
41	66.56	19.91	101270	65.42	13.7	2.11	424.48	0
41	19.26	19.51	101300	66.86	13.5	2.09	428.17	0
41	0.78	19	101310	68.26	14.1	1.85	431.85	0
41	0	18.68	101340	69.57	13.4	2.06	437.3	0
41	0	18.42	101320	69.98	13.2	2.07	442.75	0
41	0	18.36	101320	70.27	13.4	1.95	441.38	0
41	0	18.32	101310	70.94	13.7	1.82	440	0
41	0	18.26	101300	72.59	15.2	1.81	441.51	0
42	0	18.08	101300	74.17	15.4	2.24	443.02	40
42	0	17.25	101300	85.24	15.4	2	446.87	100
42	0	16.9	101290	87.01	15.7	2	450.71	60
42	0	16.62	101280	89.66	15.4	1.74	451.63	20
42	0	16.75	101270	88.21	15	1.93	452.55	0
42	0.01	16.5	101260	89.16	15.4	1.87	451.32	60
42	0.01	16.38	101260	90.69	15.3	1.52	450.09	80
42	0.01	16.12	101250	90.59	14.7	1.3	455.04	280
42	0.01	16.09	101240	90.51	15.3	0.96	459.99	20
42	0.01	16.31	101240	89.39	15	1.05	459.21	0
42	0.01	16.48	101260	87.66	14.7	1.19	458.42	0
42	0.01	16.59	101280	86.55	14.6	1.25	453.56	0
42	0.01	16.57	101300	84.79	14.6	0.98	448.69	0
42	0.05	16.62	101330	85.25	14.9	0.94	453.1	0
42	4.1	16.98	101350	83.92	15.1	1.06	457.51	0
42	37.38	17.41	101380	82.41	15.1	1.19	456.73	0
42	81.98	18.17	101380	77.75	14	1.7	455.94	0
42	126.58	18.71	101400	73.24	14.4	2.08	448.38	20
42	227.72	19.32	101420	70.88	14.6	2.07	440.82	0
42	404.3	18.86	101440	73.91	16	2.16	442.59	0
42	135.5	19.27	101440	71.7	14.2	2.15	444.35	0
42	402.49	19.6	101430	67.16	14.5	2.32	445.42	0
42	669.48	20.05	101420	64.85	13.9	2.42	446.5	0
42	649.93	20.94	101410	60.51	14.2	2.46	441.11	0
42	731.75	20.91	101400	60.29	13.5	2.35	435.72	0
42	693.58	20.96	101400	59.83	13.5	2.36	433.54	0
